cabinet_uid,municipality_id,source_cabinet_key,cabinet_name,latitude,longitude,fixture_rows,lamp_count,rated_power_w,controller_type,controller_link_status,address,source_file
SY-CAB-345b0591ca,suyeong,무학로9-1 (23),무학로9-1 (23),35.16371051,129.1153773,23,23,2545.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-caf55e3126,suyeong,무학로9-2 (22),무학로9-2 (22),35.166618505,129.11691935,22,22,2300.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-92eb2e5b2c,suyeong,민락교 (37),민락교 (37),35.16121472,129.1310024,41,41,6150.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-e427dc3ca2,suyeong,민락로-1 (8),민락로-1 (8),35.157491719999996,129.12178335,8,8,960.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-6760905c21,suyeong,민락로6-1 (23),민락로6-1 (23),35.15588958,129.1226717,23,23,3000.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-fa5d1e9798,suyeong,민락본동로-1  (13),민락본동로-1  (13),35.15786856,129.1283445,13,13,1790.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-9fec55c536,suyeong,민락본동로-2  (9),민락본동로-2  (9),35.158385255,129.1287229,10,10,1040.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-d24a2598cf,suyeong,민락본동로19-1 (17),민락본동로19-1 (17),35.15833223,129.1270223,17,17,1800.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-1c211eb778,suyeong,민락수변공원-1_불꽃놀이 (10),민락수변공원-1_불꽃놀이 (10),35.153940495,129.1240721,10,10,640.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-f4d9b96a9a,suyeong,민락수변공원-2 (17)_행사,민락수변공원-2 (17)_행사,35.15427045,129.13155039999998,22,34,1700.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-f29edc0522,suyeong,민락수변공원-3 (13)_행사,민락수변공원-3 (13)_행사,35.15531904,129.1347829,25,25,1250.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-966875a63c,suyeong,민락수변로-1_불꽃놀이 (5),민락수변로-1_불꽃놀이 (5),35.15396525,129.1242409,5,5,800.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-4621a34bc8,suyeong,민락수변로-2_불꽃놀이 (38),민락수변로-2_불꽃놀이 (38),35.15362899,129.1279018,59,66,6415.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-9e585a96e3,suyeong,민락수변로-3  (20),민락수변로-3  (20),35.155124075,129.13389315,20,27,3500.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-2cc33acf1b,suyeong,민락수변로-4  (17),민락수변로-4  (17),35.155412944999995,129.13275420000002,18,18,2465.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-b7ab059f4f,suyeong,민락수변로-5  (20),민락수변로-5  (20),35.16057903,129.1312278,30,30,2670.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-fdda50350c,suyeong,민락수변로-6  (10),민락수변로-6  (10),35.16456751,129.12752540000002,10,10,1020.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-7fdaaf1c36,suyeong,민락수변로17-2  (15),민락수변로17-2  (15),35.15553872,129.1270402,15,15,2250.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-2f140c7dee,suyeong,민락수변로7-1 (13),민락수변로7-1 (13),35.15575018,129.1249076,13,14,1870.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-b411ece2df,suyeong,민락조명탑 (1),민락조명탑 (1),35.16572226,129.1249506,1,7,3500.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-d1f531bd7e,suyeong,민락체육공원 (5),민락체육공원 (5),35.15754995,129.1324247,5,5,300.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-ff023a997e,suyeong,번영로체육공원 (13),번영로체육공원 (13),35.16735353,129.1071753,13,13,650.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-8e6b212e60,suyeong,센텀비스타 공원 (15),센텀비스타 공원 (15),35.16614712,129.1200898,15,15,750.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-e6b12e7489,suyeong,수미로-1 (19),수미로-1 (19),35.17387552,129.113875,19,19,1450.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-1fd5e1ea78,suyeong,수미로-2 (12),수미로-2 (12),35.173144985,129.11930230000002,12,12,1220.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
